params,equity_curve
"[710, 3.5]",5.750599966381252
"[310, 4.5]",2.123190620336447
"[610, 2.5]",1.7007416912743711
"[810, 3.5]",1.0899153550241378
"[10, 3.5]",1.0
"[10, 4.5]",1.0
"[510, 2.5]",0.9992089690899818
"[110, 4.5]",0.6128957995918923
"[910, 1.5]",0.21537112143581946
"[510, 1.5]",0.07647553429717764
"[610, 1.5]",0.06269422642016496
"[110, 3.5]",0.007939676642618312
"[410, 2.5]",0.00566655506406823
"[710, 1.5]",0.002811771943392281
"[310, 2.5]",0.0026956094752678267
"[410, 1.5]",0.00048366106622559204
"[210, 2.5]",0.000245610771909302
"[210, 3.5]",0.0002448479048055401
"[310, 1.5]",1.4602015836390967e-05
"[110, 1.5]",7.296911422933826e-13
"[910, 0.5]",3.916440215388957e-14
"[810, 0.5]",1.163488107349469e-14
"[710, 0.5]",9.377964700789747e-17
"[510, 0.5]",1.3005543174227645e-17
"[610, 0.5]",5.915339843980767e-19
"[410, 0.5]",2.7727188094613528e-21
"[210, 0.5]",1.2355978671099792e-32
"[10, 2.5]",5.382685746178553e-38
"[110, 0.5]",8.946162711291478e-39
"[10, 1.5]",1.1902887794118819e-75
"[10, 0.5]",2.6526745054999737e-111
"[510, 4.5]",0.0
"[810, 1.5]",0.0
"[910, 3.5]",0.0
"[910, 2.5]",0.0
"[110, 2.5]",0.0
"[210, 1.5]",0.0
"[810, 4.5]",0.0
"[210, 4.5]",0.0
"[810, 2.5]",0.0
"[310, 0.5]",0.0
"[510, 3.5]",0.0
"[710, 4.5]",0.0
"[310, 3.5]",0.0
"[710, 2.5]",0.0
"[410, 3.5]",0.0
"[410, 4.5]",0.0
"[610, 4.5]",0.0
"[610, 3.5]",0.0
"[910, 4.5]",0.0
